Page,Page ID,Reach,Engagements,Reactions,Clicks,Status,Comment
Klassisk morgon i P2,582215061794301,150843,11146,2160,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Radio Sweden på lätt svenska,1689649637918927,144258,11919,2151,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 Gotland Sveriges Radio,366076305584,134462,253606,12551,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P4 DANS,136111959774049,124871,9664,3178,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Meänraatio Sveriges Radio,131725886879963,104401,13976,3410,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Melodikrysset,133118966710193,101614,12240,3029,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Radio Sweden,273798544783,99133,30378,1837,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Ring P1,153600108027211,95922,23704,1237,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Raadiyaha Iswiidhen - Radio Sweden Somali,262146927294716,65858,25286,1041,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
رادیو سوئد - رادیوی سویدن  - Radio Sweden Farsi/Dari,164720930235950,49049,61927,5964,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Sameradion och SVT Sápmi,165985770094348,48669,28074,3410,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Nyheter från Sveriges Radio Ekot,193765033970603,41918,837,139,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
Radio Romano,341160176083580,26144,9243,1475,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
OBS P1,151720683590,22041,868,183,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
P3 Dokumentär,106256266063544,15056,1288,135,0,API_ERROR,Klick: (#100) The value must be a valid insights metric (kod 100)
